Rank,Rating,User
1,3.18174603175,116757.0
1,0.6875,119449.0
1,4.4925089314,44141.0
1,4.51174405456,99929.0
2,3.18174603175,116757.0
2,0.6875,119449.0
2,4.4925089314,44141.0
2,4.51174405456,99929.0
3,3.18174603175,116757.0
3,0.6875,119449.0
3,4.4925089314,44141.0
3,4.51174405456,99929.0
4,4.84841269841,116757.0
4,1.6875,119449.0
4,4.16334939301,44141.0
4,5.0,99929.0
5,4.84841269841,116757.0
5,1.9375,119449.0
5,4.16494353629,44141.0
5,4.75587202728,99929.0
6,4.84841269841,116757.0
6,1.9375,119449.0
6,4.16494353629,44141.0
6,4.75587202728,99929.0
7,4.84841269841,116757.0
7,2.6875,119449.0
7,4.9925089314,44141.0
7,5.0,99929.0
8,4.84841269841,116757.0
8,2.6875,119449.0
8,4.65917559806,44141.0
8,5.0,99929.0
9,3.86564198719,116757.0
9,2.29339464605,119449.0
9,3.2425089314,44141.0
9,4.75587202728,99929.0
10,4.84841269841,116757.0
10,2.85416666667,119449.0
10,4.21857644577,44141.0
10,4.67449603637,99929.0
11,4.56061508647,116757.0
11,2.6875,119449.0
11,4.4925089314,44141.0
11,4.01174405456,99929.0
12,4.70228063014,116757.0
12,2.85416666667,119449.0
12,4.10746533466,44141.0
12,4.6213070135,99929.0
13,4.76507936508,116757.0
13,3.1875,119449.0
13,4.60362004251,44141.0
13,4.61698313839,99929.0
14,4.6097487123,116757.0
14,3.10799484867,119449.0
14,4.71473115362,44141.0
14,4.34116270304,99929.0
15,3.85674603175,116757.0
15,3.12032636848,119449.0
15,4.40597046986,44141.0
15,4.46188496399,99929.0
16,4.62118055911,116757.0
16,3.1875,119449.0
16,4.35362004251,44141.0
16,4.12285516567,99929.0
17,4.74486799276,116757.0
17,3.46619534141,119449.0
17,4.16056686305,44141.0
17,4.65849842553,99929.0
18,4.84841269841,116757.0
18,3.4375,119449.0
18,4.16920222216,44141.0
18,4.26174405456,99929.0
19,4.65012569405,116757.0
19,3.44132818201,119449.0
19,4.62213856103,44141.0
19,4.41523677711,99929.0
20,4.50613127146,116757.0
20,3.28919260134,119449.0
20,4.35376239514,44141.0
20,3.76174405456,99929.0
